Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
N	fbgn0004647	mir-ban	fbgn0262451	suppressible
DAAM	fbgn0025641	tmod	fbgn0082582	suppressible
osk	fbgn0003015	Su(osk)K2	fbgn0020893	suppressible
Pcl	fbgn0003044	Sirt1	fbgn0024291	enhanceable
Vps35	fbgn0034708	Rab7	fbgn0015795	suppressible
Btk29A	fbgn0003502	pcs	fbgn0033988	suppressible
Sulf1	fbgn0040271	ptc	fbgn0003892	suppressible
Raf	fbgn0003079	put	fbgn0003169	suppressible
ago|Myc	fbgn0041171|fbgn0262656	puf	fbgn0039214	enhanceable
nos	fbgn0002962	dpp	fbgn0000490	suppressible
ph-p	fbgn0004861	trx	fbgn0003862	suppressible
RanBPM	fbgn0262114	shg	fbgn0003391	enhanceable
CdGAPr	fbgn0032821	Fak	fbgn0020440	enhanceable
pbl	fbgn0003041	Sec63	fbgn0035771	suppressible
nej	fbgn0261617	ash1	fbgn0005386	suppressible
Snr1	fbgn0011715	HDAC1	fbgn0015805	enhanceable
if	fbgn0001250	sli	fbgn0264089	enhanceable
wg	fbgn0284084	L	fbgn0267825	enhanceable
hid	fbgn0003997	lncRNA:Hsr?	fbgn0001234	suppressible
elB|noc	fbgn0004858|fbgn0005771	N	fbgn0004647	suppressible
ptc	fbgn0003892	Cdk4|CycD	fbgn0016131|fbgn0010315	suppressible
ct	fbgn0004198	Aef1	fbgn0005694	suppressible
Tollo	fbgn0029114	tkv	fbgn0003716	suppressible
Vang	fbgn0015838	dgo	fbgn0086898	enhanceable
Mical	fbgn0053208	slmb	fbgn0283468	enhanceable
Vps25	fbgn0022027	N	fbgn0004647	suppressible
wg	fbgn0284084	pan	fbgn0085432	suppressible
Vps35	fbgn0034708	Lrrk	fbgn0038816	suppressible
ry	fbgn0003308	ZnT63C	fbgn0035432	suppressible
Pvr	fbgn0032006	CHES-1-like	fbgn0029504	suppressible
Egfr	fbgn0003731	Pp1-87B	fbgn0004103	enhanceable
ato	fbgn0010433	hh	fbgn0004644	suppressible
ttv	fbgn0265974	?3GalTII	fbgn0033315	enhanceable
arm	fbgn0000117	stg	fbgn0003525	enhanceable
dnc	fbgn0000479	rut	fbgn0003301	suppressible
Tsc1|gig	fbgn0026317|fbgn0005198	CycD	fbgn0010315	suppressible
fz2|fz	fbgn0016797|fbgn0001085	arm	fbgn0000117	suppressible
Tsc1	fbgn0026317	foxo	fbgn0038197	enhanceable
sev	fbgn0003366	Nrt	fbgn0004108	suppressible
ct	fbgn0004198	z	fbgn0004050	enhanceable
pnr	fbgn0003117	ras	fbgn0003204	enhanceable
rpr	fbgn0011706	PSR	fbgn0038948	enhanceable
lin-52	fbgn0029800	mip130	fbgn0023509	suppressible
Magi	fbgn0034590	arm	fbgn0000117	enhanceable
AdamTS-A	fbgn0286071	LanA	fbgn0002526	suppressible
kuz	fbgn0259984	dap	fbgn0010316	suppressible
CYLD	fbgn0032210	Traf6	fbgn0265464	suppressible
brm	fbgn0000212	htt	fbgn0027655	enhanceable
Ret	fbgn0011829	Dl	fbgn0000463	suppressible
S	fbgn0003310	Ras85D	fbgn0003205	enhanceable
mwh	fbgn0264272	Rok	fbgn0026181	suppressible
wg	fbgn0284084	jing	fbgn0086655	suppressible
G?q	fbgn0004435	robo1	fbgn0005631	suppressible
Sema1a	fbgn0011259	PlexA	fbgn0025741	enhanceable
Fmr1	fbgn0028734	Cbl	fbgn0020224	suppressible
jar	fbgn0011225	shg	fbgn0003391	suppressible
dom	fbgn0020306	tara	fbgn0040071	suppressible
pan	fbgn0085432	Rbf	fbgn0015799	suppressible
mod(mdg4)	fbgn0002781	Su(mg)3-5	fbgn0023147	suppressible
E(spl)m?-HLH	fbgn0002733	sc	fbgn0004170	enhanceable
br	fbgn0283451	E(br)121	fbgn0069453	enhanceable
twi	fbgn0003900	da	fbgn0267821	enhanceable
Ilp5	fbgn0044048	Ilp2	fbgn0036046	suppressible
p53	fbgn0039044	Corp	fbgn0030028	enhanceable
Ras85D	fbgn0003205	SM3-6	fbgn0041616	enhanceable
ago	fbgn0041171	sima	fbgn0266411	suppressible
sd	fbgn0003345	trr	fbgn0023518	enhanceable
Nf1	fbgn0015269	vap	fbgn0003969	suppressible
aop	fbgn0000097	retn	fbgn0004795	enhanceable
ro	fbgn0003267	E(ro<up>DOM</up>)2409	fbgn0043593	enhanceable
Xbp1	fbgn0021872	bsk	fbgn0000229	suppressible
br	fbgn0283451	Met	fbgn0002723	enhanceable
Osbp	fbgn0020626	Rab18	fbgn0015794	suppressible
dsh	fbgn0000499	CG15283	fbgn0028844	enhanceable
Sry-?	fbgn0003512	bcd	fbgn0000166	suppressible
brk	fbgn0024250	Dad	fbgn0020493	suppressible
Uvrag	fbgn0032499	ptc	fbgn0003892	enhanceable
amos	fbgn0003270	emc	fbgn0000575	suppressible
Vap33	fbgn0029687	Atg1	fbgn0260945	suppressible
m	fbgn0002577	m::tyn	fbgn0262082	suppressible
brm	fbgn0000212	mor	fbgn0002783	enhanceable
Pc	fbgn0003042	Scm	fbgn0003334	enhanceable
WASp	fbgn0024273	Arp3	fbgn0262716	enhanceable
mus301	fbgn0002899	mei-W68	fbgn0002716	suppressible
Myd88	fbgn0033402	bsk	fbgn0000229	suppressible
da	fbgn0267821	Su(da<up>lyh</up>)26H6	fbgn0026347	suppressible
Iswi	fbgn0011604	casp	fbgn0034068	suppressible
Rap1	fbgn0004636	Rgl	fbgn0026376	enhanceable
Pp2B-14D	fbgn0011826	CS3-4	fbgn0063596	suppressible
rump	fbgn0267790	nos	fbgn0002962	enhanceable
Pc	fbgn0003042	Adf1	fbgn0284249	enhanceable
gcm	fbgn0014179	lola	fbgn0283521	suppressible
h	fbgn0001168	gro	fbgn0001139	enhanceable
TFAM	fbgn0038805	sima	fbgn0266411	suppressible
fh	fbgn0030092	lace	fbgn0002524	suppressible
tara|brm	fbgn0040071|fbgn0000212	trx	fbgn0003862	enhanceable
hpo	fbgn0261456	Uba1	fbgn0023143	enhanceable
comm	fbgn0010105	rl	fbgn0003256	suppressible
H	fbgn0001169	Su(H)	fbgn0004837	enhanceable
bol	fbgn0011206	twe	fbgn0002673	suppressible
Pink1	fbgn0029891	Ret	fbgn0011829	suppressible
Cdk4|CycD	fbgn0016131|fbgn0010315	Ets97D	fbgn0004510	suppressible
sog	fbgn0003463	mew	fbgn0004456	suppressible
lqf	fbgn0028582	Chc	fbgn0000319	enhanceable
Caf1-55	fbgn0263979	htt	fbgn0027655	suppressible
Mer	fbgn0086384	net	fbgn0002931	enhanceable
Su(var)2-10	fbgn0003612	Stat92E	fbgn0016917	enhanceable
Pink1	fbgn0029891	chico	fbgn0024248	suppressible
Fak	fbgn0020440	CdGAPr	fbgn0032821	enhanceable
SNF4A?	fbgn0264357	Hmgcr	fbgn0263782	enhanceable
trx|ash1	fbgn0003862|fbgn0005386	sxc	fbgn0261403	enhanceable
shakB	fbgn0085387	ogre::shakB	fbgn0083071	suppressible
ct|su(Hw)	fbgn0004198|fbgn0003567	Chi	fbgn0013764	enhanceable
kn	fbgn0001319	asrij	fbgn0034793	suppressible
sev	fbgn0003366	drk	fbgn0004638	enhanceable
hep	fbgn0010303	PEK	fbgn0037327	suppressible
Ppt1	fbgn0030057	Naa60	fbgn0036039	enhanceable
ey	fbgn0005558	eyg	fbgn0000625	enhanceable
Nab2	fbgn0028471	hrg	fbgn0015949	enhanceable
peb	fbgn0003053	l(2)k00605b	fbgn0022267	suppressible
cno|scrib	fbgn0259212|fbgn0263289	Akt1	fbgn0010379	suppressible
Pink1	fbgn0029891	HtrA2	fbgn0038233	suppressible
aos	fbgn0004569	ed	fbgn0000547	suppressible
Pink1	fbgn0029891	ref(2)P	fbgn0003231	suppressible
Ras85D|sev	fbgn0003205|fbgn0003366	Su(Tpl)	fbgn0014037	suppressible
gro	fbgn0001139	Hipk	fbgn0035142	suppressible
Aplip1	fbgn0040281	Dhc64C	fbgn0261797	suppressible
bw	fbgn0000241	tai	fbgn0041092	suppressible
htl	fbgn0010389	Egfr::htl	fbgn0061210	suppressible
LanB1	fbgn0261800	org-1	fbgn0021767	suppressible
N	fbgn0004647	Nipped-A	fbgn0053554	suppressible
Dg	fbgn0034072	POSH	fbgn0040294	enhanceable
Camta	fbgn0259234	Fbxl4	fbgn0030555	suppressible
upd1	fbgn0004956	hh	fbgn0004644	suppressible
Su(z)2	fbgn0265623	Psc	fbgn0005624	enhanceable
Cbl	fbgn0020224	CTPsyn	fbgn0266452	suppressible
fh	fbgn0030092	Cat	fbgn0000261	suppressible
wg	fbgn0284084	puc	fbgn0243512	enhanceable
ptc	fbgn0003892	babo	fbgn0011300	suppressible
rump	fbgn0267790	aub	fbgn0000146	enhanceable
Ras85D	fbgn0003205	Myc	fbgn0262656	suppressible
Oct?2R	fbgn0038063	Oct?1R	fbgn0038980	suppressible
Pax	fbgn0041789	Mp20	fbgn0002789	enhanceable
Sdc	fbgn0010415	robo1	fbgn0005631	enhanceable
vap	fbgn0003969	spri	fbgn0085443	suppressible
Frq2	fbgn0083228	cac	fbgn0263111	suppressible
svp	fbgn0003651	Sos	fbgn0001965	suppressible
drl	fbgn0015380	Drl-2	fbgn0033791	suppressible
rpr	fbgn0011706	cln	fbgn0015922	suppressible
Imp	fbgn0285926	msi	fbgn0011666	enhanceable
kay	fbgn0001297	Jra	fbgn0001291	enhanceable
Ras85D	fbgn0003205	Src42A	fbgn0264959	enhanceable
Slik	fbgn0035001	Moe	fbgn0011661	suppressible
tefu	fbgn0045035	stg	fbgn0003525	suppressible
vg	fbgn0003975	sd	fbgn0003345	suppressible
egr	fbgn0033483	Rab21	fbgn0039966	enhanceable
wg	fbgn0284084	ap	fbgn0267978	enhanceable
tefu	fbgn0045035	p53	fbgn0039044	enhanceable
Hr51	fbgn0034012	S6k	fbgn0283472	suppressible
ci	fbgn0004859	Cad99C	fbgn0039709	suppressible
kibra	fbgn0262127	hpo	fbgn0261456	suppressible
Fmr1	fbgn0028734	Rm62	fbgn0003261	suppressible
pbl	fbgn0003041	Diap1	fbgn0260635	enhanceable
GluRIIA	fbgn0004620	CaMKII	fbgn0264607	suppressible
N	fbgn0004647	hrg	fbgn0015949	enhanceable
Sox21a	fbgn0036411	hep	fbgn0010303	suppressible
Mad	fbgn0011648	fuss	fbgn0039932	suppressible
ftz	fbgn0001077	E(ftz)2955	fbgn0082683	enhanceable
Rab8	fbgn0262518	Tak1	fbgn0026323	suppressible
ct	fbgn0004198	Ssl1	fbgn0037202	suppressible
sable	fbgn0003309	svr	fbgn0004648	suppressible
Blos1	fbgn0050077	aux	fbgn0037218	enhanceable
Kr	fbgn0001325	l(3)j2C3	fbgn0011330	suppressible
Ras85D	fbgn0003205	Apc|Med|Pten|p53	fbgn0015589|fbgn0011655|fbgn0026379|fbgn0039044	enhanceable
pnr	fbgn0003117	dpp	fbgn0000490	enhanceable
tor	fbgn0003733	Btk29A	fbgn0003502	suppressible
TBPH	fbgn0025790	GluRIIA	fbgn0004620	suppressible
Sce	fbgn0003330	SMC1	fbgn0040283	suppressible
Pvr	fbgn0032006	Pvf1	fbgn0030964	enhanceable
Sin3A	fbgn0022764	bsk	fbgn0000229	suppressible
Arf79F|Pi3K92E	fbgn0010348|fbgn0015279	Pten	fbgn0026379	suppressible
hiw	fbgn0030600	raptor	fbgn0029840	suppressible
Nprl3	fbgn0036397	Tor	fbgn0021796	suppressible
Nsf2	fbgn0266464	RhoBTB	fbgn0036980	suppressible
nmo	fbgn0011817	Clk	fbgn0023076	enhanceable
cutlet	fbgn0015376	RfC38	fbgn0028700	enhanceable
Egfr	fbgn0003731	px	fbgn0003175	enhanceable
upd1	fbgn0004956	kto	fbgn0001324	suppressible
EndoGI	fbgn0028515	Abl	fbgn0000017	suppressible
dpp	fbgn0000490	cv-2	fbgn0000395	suppressible
Ser	fbgn0004197	Utx	fbgn0260749	suppressible
Ras85D|l(2)gl	fbgn0003205|fbgn0002121	PpV	fbgn0003139	suppressible
trp	fbgn0003861	inaF-D	fbgn0260812	suppressible
chb	fbgn0021760	bip1	fbgn0026263	suppressible
Tao	fbgn0031030	par-1	fbgn0260934	suppressible
garz	fbgn0264560	Cds	fbgn0010350	enhanceable
aos	fbgn0004569	p	fbgn0086679	enhanceable
ddbt	fbgn0284444	lok	fbgn0019686	suppressible
Dcp-1	fbgn0010501	Atg4a	fbgn0031298	suppressible
wg	fbgn0284084	arr::fz2	fbgn0067784	suppressible
arm	fbgn0000117	Axn	fbgn0026597	suppressible
CycE	fbgn0010382	mor	fbgn0002783	enhanceable
sw	fbgn0003654	ctp	fbgn0011760	enhanceable
kek1	fbgn0015399	ed	fbgn0000547	enhanceable
Smox	fbgn0025800	daw	fbgn0031461	suppressible
Gli	fbgn0001987	H	fbgn0001169	enhanceable
crb	fbgn0259685	scrib	fbgn0263289	enhanceable
CycE	fbgn0010382	osa	fbgn0261885	suppressible
kud	fbgn0036667	koi	fbgn0265003	enhanceable
sgg	fbgn0003371	kay	fbgn0001297	enhanceable
Appl	fbgn0000108	APP-BP1	fbgn0261112	enhanceable
Dcp-1	fbgn0010501	Eip55E	fbgn0000566	suppressible
norpA	fbgn0262738	Vps26|w	fbgn0014411|fbgn0003996	suppressible
bsk	fbgn0000229	kay	fbgn0001297	enhanceable
Dcp-1	fbgn0010501	Usp15-31	fbgn0050421	suppressible
lqf	fbgn0028582	neur	fbgn0002932	enhanceable
Zyx	fbgn0011642	jub	fbgn0030530	enhanceable
smo	fbgn0003444	E(smoDN)2162	fbgn0083284	enhanceable
fzr	fbgn0262699	insc	fbgn0011674	suppressible
bai	fbgn0045866	tkv	fbgn0003716	enhanceable
Myt1	fbgn0040298	Wee1	fbgn0011737	suppressible
SkpA	fbgn0025637	Jra	fbgn0001291	suppressible
tral	fbgn0041775	Zfrp8	fbgn0021875	suppressible
Wnt5	fbgn0010194	Drl-2	fbgn0033791	enhanceable
robo1	fbgn0005631	gcm	fbgn0014179	enhanceable
BubR1	fbgn0263855	Pepck1	fbgn0003067	enhanceable
ey	fbgn0005558	dpp	fbgn0000490	enhanceable
rb	fbgn0003210	Blos1	fbgn0050077	enhanceable
ex	fbgn0004583	sd	fbgn0003345	suppressible
Pcl	fbgn0003044	esc	fbgn0000588	enhanceable
lola	fbgn0283521	for	fbgn0000721	suppressible
pnr	fbgn0003117	ush	fbgn0003963	enhanceable
Rbf	fbgn0015799	CycE	fbgn0010382	enhanceable
Dsor1	fbgn0010269	hh	fbgn0004644	enhanceable
wts	fbgn0011739	Tao	fbgn0031030	suppressible
Acf	fbgn0027620	Chrac-16	fbgn0043001	enhanceable
eas	fbgn0000536	Itgbn	fbgn0010395	suppressible
Bx	fbgn0265598	ap	fbgn0267978	suppressible
upd1	fbgn0004956	Brd	fbgn0000216	suppressible
tws	fbgn0004889	Sod2	fbgn0010213	suppressible
Sxl	fbgn0264270	snf	fbgn0003449	suppressible
E(z)	fbgn0000629	sls	fbgn0086906	suppressible
Ras85D	fbgn0003205	p53	fbgn0039044	enhanceable
hh	fbgn0004644	hpo	fbgn0261456	enhanceable
w	fbgn0003996	RevIII-3y	fbgn0027374	enhanceable
DNApol-?180|mei-41	fbgn0259113|fbgn0004367	CycA	fbgn0000404	suppressible
cv-2	fbgn0000395	gbb	fbgn0024234	enhanceable
net	fbgn0002931	CycG	fbgn0039858	enhanceable
Arp3	fbgn0262716	WASp	fbgn0024273	enhanceable
moi	fbgn0261019	tefu	fbgn0045035	enhanceable
?Tub67C	fbgn0087040	ncd	fbgn0002924	enhanceable
lz	fbgn0002576	e(w<up>e</up>)	fbgn0000608	suppressible
mod(mdg4)	fbgn0002781	Su(mg)2-5	fbgn0023154	suppressible
DCTN1-p150	fbgn0001108	?-Spec	fbgn0250788	enhanceable
Frl	fbgn0267795	Rac1	fbgn0010333	enhanceable
Ret	fbgn0011829	l(3)S019203	fbgn0028200	enhanceable
dpp	fbgn0000490	sog	fbgn0003463	suppressible
nab	fbgn0259986	puc	fbgn0243512	suppressible
kay	fbgn0001297	CG32137	fbgn0052137	enhanceable
N	fbgn0004647	Marf|Myc	fbgn0029870|fbgn0262656	suppressible
ssh	fbgn0029157	tsr	fbgn0011726	suppressible
dom	fbgn0020306	Hel89B	fbgn0022787	enhanceable
erm	fbgn0031375	dpn	fbgn0010109	enhanceable
Tl	fbgn0262473	Rab1	fbgn0285937	suppressible
ex	fbgn0004583	mir-ban	fbgn0262451	suppressible
wg	fbgn0284084	nito	fbgn0027548	suppressible
vn	fbgn0003984	Pros?6	fbgn0002284	enhanceable
pbl	fbgn0003041	CHES-1-like	fbgn0029504	enhanceable
egr	fbgn0033483	Rab7	fbgn0015795	suppressible
gish	fbgn0250823	Dcr-2	fbgn0034246	enhanceable
Bx	fbgn0265598	ppl	fbgn0027945	enhanceable
Ubx	fbgn0003944	crn	fbgn0000377	enhanceable
Pkn	fbgn0020621	nmo	fbgn0011817	enhanceable
how	fbgn0264491	crn	fbgn0000377	suppressible
Dl	fbgn0000463	Neurl4	fbgn0283503	suppressible
PDZ-GEF	fbgn0265778	Rap1	fbgn0004636	suppressible
Mer	fbgn0086384	kibra	fbgn0262127	enhanceable
Rtnl1	fbgn0053113	atl	fbgn0039213	suppressible
okr	fbgn0002989	c(3)G	fbgn0000246	suppressible
yki	fbgn0034970	sd	fbgn0003345	enhanceable
Bx|ap	fbgn0265598|fbgn0267978	Su(Tpl)	fbgn0014037	suppressible
Pink1	fbgn0029891	Marf	fbgn0029870	suppressible
rdgA	fbgn0261549	su(rdgA)40	fbgn0261448	suppressible
esc|su(Hw)|w	fbgn0000588|fbgn0003567|fbgn0003996	ph-p	fbgn0004861	suppressible
sktl	fbgn0016984	baz	fbgn0000163	enhanceable
Pink1	fbgn0029891	Buffy	fbgn0040491	suppressible
esg	fbgn0001981	mir-310|mir-311|mir-312|mir-313	fbgn0262436|fbgn0262402|fbgn0262450|fbgn0262441	enhanceable
Dll	fbgn0000157	disco	fbgn0000459	suppressible
ck	fbgn0000317	sqh	fbgn0003514	enhanceable
Ras85D	fbgn0003205	SR3-6	fbgn0016736	suppressible
Atg1	fbgn0260945	mask	fbgn0043884	enhanceable
Sxl	fbgn0264270	ssx	fbgn0024987	suppressible
Vps35	fbgn0034708	wit	fbgn0024179	suppressible
ksr	fbgn0015402	aop	fbgn0000097	suppressible
sev	fbgn0003366	Jra	fbgn0001291	suppressible
Syx1A	fbgn0013343	EP2	fbgn0083241	suppressible
z	fbgn0004050	Su(z)2	fbgn0265623	suppressible
KLHL18	fbgn0037978	CG10324	fbgn0038454	enhanceable
arm	fbgn0000117	puc	fbgn0243512	suppressible
ptc	fbgn0003892	Su(fu)	fbgn0005355	enhanceable
grim	fbgn0015946	rpr	fbgn0011706	enhanceable
Ras85D	fbgn0003205	S	fbgn0003310	enhanceable
TrpA1	fbgn0035934	Or67d	fbgn0036080	suppressible
y	fbgn0004034	mod(mdg4)	fbgn0002781	enhanceable
tkv	fbgn0003716	N	fbgn0004647	enhanceable
ct	fbgn0004198	CG14757	fbgn0033274	suppressible
InR	fbgn0283499	Tsc1	fbgn0026317	suppressible
arm|spen	fbgn0000117|fbgn0016977	nito	fbgn0027548	suppressible
pbl	fbgn0003041	Rrp1	fbgn0004584	suppressible
LIMK1	fbgn0283712	Rac1	fbgn0010333	suppressible
trx|brm	fbgn0003862|fbgn0000212	lawc	fbgn0262976	enhanceable
Smn	fbgn0036641	Dad	fbgn0020493	suppressible
spn-B	fbgn0003480	mei-218	fbgn0002709	enhanceable
Src42A	fbgn0264959	rl	fbgn0003256	suppressible
pnr	fbgn0003117	wech	fbgn0259745	enhanceable
fz	fbgn0001085	G?o	fbgn0001122	enhanceable
squ	fbgn0267347	lok	fbgn0019686	suppressible
e(y)3	fbgn0087008	brm	fbgn0000212	enhanceable
robo2	fbgn0002543	robo1	fbgn0005631	suppressible
EcR	fbgn0000546	crc	fbgn0000370	suppressible
H	fbgn0001169	tutl	fbgn0010473	suppressible
rdgA	fbgn0261549	trp|trpl	fbgn0003861|fbgn0005614	suppressible
Atg1	fbgn0260945	Pcf11	fbgn0264962	enhanceable
Pcl	fbgn0003044	htt	fbgn0027655	suppressible
PpV|Ras85D	fbgn0003139|fbgn0003205	bsk	fbgn0000229	suppressible
CycA	fbgn0000404	CycB	fbgn0000405	suppressible
ey	fbgn0005558	pb	fbgn0051481	suppressible
fra	fbgn0011592	fra::unc-5	fbgn0061172	suppressible
fz	fbgn0001085	N	fbgn0004647	enhanceable
mir-14	fbgn0262447	EcR	fbgn0000546	suppressible
ap	fbgn0267978	fz3|wg	fbgn0027343|fbgn0284084	suppressible
ct|mod(mdg4)	fbgn0004198|fbgn0002781	Cp190	fbgn0000283	suppressible
Liprin-?	fbgn0046704	trio	fbgn0024277	suppressible
scrib	fbgn0263289	hep	fbgn0010303	suppressible
peb	fbgn0003053	Jra	fbgn0001291	suppressible
y	fbgn0004034	su(Hw)	fbgn0003567	suppressible
L	fbgn0267825	sgg	fbgn0003371	enhanceable
B-H1	fbgn0011758	Ras85D	fbgn0003205	suppressible
Scox	fbgn0262467	rpr	fbgn0011706	enhanceable
Dys	fbgn0260003	l(3)j5B6	fbgn0011380	suppressible
Sec71	fbgn0028538	Nrg	fbgn0264975	suppressible
Vps60	fbgn0036740	N	fbgn0004647	suppressible
Ubx	fbgn0003944	Dl	fbgn0000463	enhanceable
trx	fbgn0003862	btd	fbgn0000233	suppressible
Csk	fbgn0262081	shg	fbgn0003391	enhanceable
hop	fbgn0004864	upd1	fbgn0004956	enhanceable
dsh	fbgn0000499	smo	fbgn0003444	enhanceable
sd	fbgn0003345	sd::vg	fbgn0067334	suppressible
cas|Antp	fbgn0004878|fbgn0260642	E(spl)m8-HLH	fbgn0000591	enhanceable
sl	fbgn0003416	aos	fbgn0004569	enhanceable
Imp	fbgn0285926	jigr1	fbgn0039350	enhanceable
par-1	fbgn0260934	tau	fbgn0266579	suppressible
l(2)gl	fbgn0002121	mahj	fbgn0034641	suppressible
Ser	fbgn0004197	ap	fbgn0267978	suppressible
Vap33	fbgn0029687	CG7564	fbgn0036734	suppressible
sina	fbgn0003410	ES2-1	fbgn0024358	enhanceable
InR	fbgn0283499	Smox	fbgn0025800	suppressible
Psc|Su(z)2	fbgn0005624|fbgn0265623	bam	fbgn0000158	suppressible
ro	fbgn0003267	Su(ro<up>DOM</up>)2014	fbgn0043557	suppressible
smo	fbgn0003444	E(smoDN)2578	fbgn0083274	enhanceable
Rac1	fbgn0010333	alph	fbgn0086361	suppressible
bw	fbgn0000241	vig2	fbgn0046214	enhanceable
CycE	fbgn0010382	Ras85D	fbgn0003205	suppressible
sli	fbgn0264089	Egfr	fbgn0003731	suppressible
nesd	fbgn0032848	pav	fbgn0011692	enhanceable
ac	fbgn0000022	su(Hw)	fbgn0003567	suppressible
RhoGAP18B	fbgn0261461	Arf51F	fbgn0013750	suppressible
Smn	fbgn0036641	htl	fbgn0010389	suppressible
sky	fbgn0032901	Rab5	fbgn0014010	enhanceable
bw	fbgn0000241	Mod(Prat:bw)3-3	fbgn0067872	suppressible
fz	fbgn0001085	Ras85D	fbgn0003205	enhanceable
ru	fbgn0003295	rho	fbgn0004635	enhanceable
crc	fbgn0000370	Su(crc)	fbgn0003553	suppressible
lid	fbgn0031759	Stat92E	fbgn0016917	suppressible
Pink1	fbgn0029891	mAcon1	fbgn0010100	suppressible
Dfd	fbgn0000439	UC119	fbgn0026014	enhanceable
net	fbgn0002931	osa	fbgn0261885	enhanceable
InR	fbgn0283499	Sam-S	fbgn0005278	suppressible
park	fbgn0041100	Cat	fbgn0000261	suppressible
Src42A	fbgn0264959	Su(SuRaf1)1	fbgn0026358	suppressible
Uba4	fbgn0032054	Urm1	fbgn0053276	enhanceable
H	fbgn0001169	Ser	fbgn0004197	enhanceable
slmb	fbgn0283468	yki	fbgn0034970	suppressible
Dys	fbgn0260003	Sply	fbgn0010591	suppressible
DNApol-?	fbgn0002905	DNAlig4	fbgn0030506	enhanceable
csw::Src64B	fbgn0016791	sty	fbgn0014388	enhanceable
ct	fbgn0004198	Su(Tpl)	fbgn0014037	enhanceable
rdgB	fbgn0003218	Pld	fbgn0286511	suppressible
dom	fbgn0020306	Chd1	fbgn0250786	enhanceable
net	fbgn0002931	Egfr	fbgn0003731	enhanceable
cher	fbgn0014141	vari	fbgn0250785	enhanceable
Ack	fbgn0028484	yki	fbgn0034970	suppressible
bam	fbgn0000158	E2f1	fbgn0011766	suppressible
hid	fbgn0003997	wech	fbgn0259745	suppressible
SNF4A?	fbgn0264357	Appl	fbgn0000108	suppressible
Mad	fbgn0011648	Snoo	fbgn0085450	suppressible
ttm50	fbgn0250874	hid	fbgn0003997	suppressible
bw	fbgn0000241	l(3)neo38	fbgn0265276	suppressible
Ras85D	fbgn0003205	SM3-3	fbgn0041617	suppressible
fh	fbgn0030092	Mef2	fbgn0011656	suppressible
Ras85D	fbgn0003205	SR3-10	fbgn0016731	suppressible
Bx	fbgn0265598	sbb	fbgn0285917	suppressible
chic	fbgn0000308	Khc::Ggal\MLCK	fbgn0016674	suppressible
pbl	fbgn0003041	Rop	fbgn0004574	suppressible
Ras85D	fbgn0003205	14-3-3?	fbgn0020238	suppressible
hid	fbgn0003997	eff	fbgn0011217	suppressible
nos	fbgn0002962	Dcp-1	fbgn0010501	suppressible
Hsepi	fbgn0033087	sfl	fbgn0020251	enhanceable
hid	fbgn0003997	Dronc	fbgn0026404	suppressible
sina	fbgn0003410	ES3-1	fbgn0024357	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	l(3)04704a|l(3)04704b	fbgn0026221|fbgn0026220	suppressible
PDZ-GEF	fbgn0265778	rl	fbgn0003256	suppressible
bw	fbgn0000241	Mod(Prat:bw)3-7	fbgn0067868	suppressible
E(z)	fbgn0000629	Sirt1	fbgn0024291	enhanceable
Ras85D|scrib	fbgn0003205|fbgn0263289	Gfat1	fbgn0287209	suppressible
Ubx	fbgn0003944	Trl	fbgn0013263	enhanceable
hid|rpr	fbgn0003997|fbgn0011706	Diap1	fbgn0260635	suppressible
hng1	fbgn0034599	hth	fbgn0001235	enhanceable
porin	fbgn0004363	Drp1	fbgn0026479	suppressible
Dl::N	fbgn0013820	Dcr-1	fbgn0039016	suppressible
w	fbgn0003996	Psc	fbgn0005624	suppressible
Pi3K92E	fbgn0015279	RpS3	fbgn0002622	enhanceable
sgg	fbgn0003371	brm	fbgn0000212	suppressible
Tm1	fbgn0003721	E(To)10	fbgn0046124	enhanceable
Antp	fbgn0260642	bip2	fbgn0026262	enhanceable
Syx1A	fbgn0013343	RpS23	fbgn0033912	suppressible
tup	fbgn0003896	Lim3	fbgn0002023	enhanceable
Ptth	fbgn0013323	tsl	fbgn0003867	enhanceable
w	fbgn0003996	pasha	fbgn0039861	suppressible
Fmr1	fbgn0028734	futsch	fbgn0259108	suppressible
G?i	fbgn0001104	insc	fbgn0011674	enhanceable
hid	fbgn0003997	mats	fbgn0038965	suppressible
spi	fbgn0005672	ovo	fbgn0003028	suppressible
dsh	fbgn0000499	bsk	fbgn0000229	suppressible
L	fbgn0267825	hh	fbgn0004644	enhanceable
mir-8	fbgn0262432	spi	fbgn0005672	suppressible
pnr	fbgn0003117	amn	fbgn0086782	suppressible
p38a	fbgn0015765	MAPk-Ak2	fbgn0013987	enhanceable
Pdk1	fbgn0020386	Akt1	fbgn0010379	enhanceable
Nf-YA	fbgn0035993	sev	fbgn0003366	suppressible
Skp2	fbgn0037236	CycE	fbgn0010382	suppressible
Ras85D|sev	fbgn0003205|fbgn0003366	l(3)04708	fbgn0010847	suppressible
peb	fbgn0003053	l(2)k06617	fbgn0022120	suppressible
sws	fbgn0003656	per	fbgn0003068	enhanceable
